Date,Indian rupee (INR)
21-09-1982,4101.08
22-09-1982,4248.1
23-09-1982,4220.04
24-09-1982,4232.99
27-09-1982,4005.71
28-09-1982,3975.71
29-09-1982,4012.98
30-09-1982,3824.8
01-10-1982,3855.66
04-10-1982,3801.15
05-10-1982,3760.92
06-10-1982,3895.39
07-10-1982,4025.02
08-10-1982,4237.43
11-10-1982,4155.74
12-10-1982,4236.11
13-10-1982,4145.72
14-10-1982,4335.69
15-10-1982,4228.15
18-10-1982,4115.09
19-10-1982,4247.34
20-10-1982,4172.76
21-10-1982,4199.52
22-10-1982,4126.15
25-10-1982,4093.58
26-10-1982,4052.73
27-10-1982,4106.37
28-10-1982,4075.5
29-10-1982,4108.4
01-11-1982,4128.78
02-11-1982,4189.02
03-11-1982,4217.53
04-11-1982,4158.64
05-11-1982,4132.58
08-11-1982,3994.41
09-11-1982,3993.32
10-11-1982,4007.61
11-11-1982,3972.61
12-11-1982,3911.24
15-11-1982,3968.26
16-11-1982,3972.5
17-11-1982,4071.31
18-11-1982,4007.4
19-11-1982,4055.21
22-11-1982,4049.74
23-11-1982,3963.3
24-11-1982,3953.91
25-11-1982,4046.96
26-11-1982,4020.11
29-11-1982,4159.68
30-11-1982,4127.57
01-12-1982,4248.24
02-12-1982,4198.99
03-12-1982,4249.3
06-12-1982,4283.75
07-12-1982,4412.15
08-12-1982,4381.05
09-12-1982,4286.46
10-12-1982,4267.92
13-12-1982,4252.99
14-12-1982,4358.26
15-12-1982,4234.91
16-12-1982,4267.7
17-12-1982,4291.12
20-12-1982,4260.87
21-12-1982,4312.16
22-12-1982,4354.9
23-12-1982,4345.18
24-12-1982,4329.7
27-12-1982,4329.7
28-12-1982,4329.7
29-12-1982,4307.2
30-12-1982,4321.81
31-12-1982,4320.02
03-01-1983,4320.02
04-01-1983,4334.15
05-01-1983,4393.94
06-01-1983,4456
07-01-1983,4390.96
10-01-1983,4611.82
11-01-1983,4784.73
12-01-1983,4726.51
13-01-1983,4797.19
14-01-1983,4722.73
17-01-1983,4837.61
18-01-1983,4781.93
19-01-1983,4870.57
20-01-1983,4788.12
21-01-1983,4846.29
24-01-1983,4693.7
25-01-1983,4748.68
26-01-1983,4770.12
27-01-1983,4863.27
28-01-1983,4865.53
31-01-1983,5003.53
01-02-1983,5017.47
02-02-1983,4952.47
03-02-1983,5012.12
04-02-1983,4980.56
07-02-1983,4830.03
08-02-1983,4900.26
09-02-1983,4847.31
10-02-1983,4877.3
11-02-1983,4962.24
14-02-1983,4944.82
15-02-1983,5042.87
16-02-1983,4983.64
17-02-1983,4981.6
18-02-1983,4951.71
21-02-1983,4991.03
22-02-1983,5025.72
23-02-1983,4752.89
24-02-1983,4691.6
25-02-1983,4660.36
28-02-1983,4197
01-03-1983,4118.89
02-03-1983,4270.07
03-03-1983,4271.38
04-03-1983,4124.78
07-03-1983,4144
08-03-1983,4218.48
09-03-1983,4191.66
10-03-1983,4280.66
11-03-1983,4223.81
14-03-1983,4288.41
15-03-1983,4327.53
16-03-1983,4221.73
17-03-1983,4143.84
18-03-1983,4204.93
21-03-1983,4143.6
22-03-1983,4193.71
23-03-1983,4142.92
24-03-1983,4109.68
25-03-1983,4098.21
28-03-1983,4124.25
29-03-1983,4123.12
30-03-1983,4152.72
31-03-1983,4104.31
01-04-1983,4104.31
04-04-1983,4104.31
05-04-1983,4213.06
06-04-1983,4207.17
07-04-1983,4265.46
08-04-1983,4220.17
11-04-1983,4229.39
12-04-1983,4277.4
13-04-1983,4269.48
14-04-1983,4329.58
15-04-1983,4333.5
18-04-1983,4369.01
19-04-1983,4417.28
20-04-1983,4335.77
21-04-1983,4404.18
22-04-1983,4358.9
25-04-1983,4376.82
26-04-1983,4333.11
27-04-1983,4365.48
28-04-1983,4278.22
29-04-1983,4286.38
02-05-1983,4286.38
03-05-1983,4306.7
04-05-1983,4349.89
05-05-1983,4337.77
06-05-1983,4302.86
09-05-1983,4358.33
10-05-1983,4388.41
11-05-1983,4421.97
12-05-1983,4365.87
13-05-1983,4370.84
16-05-1983,4389.22
17-05-1983,4369.97
18-05-1983,4420.58
19-05-1983,4403.43
20-05-1983,4394.6
23-05-1983,4327.22
24-05-1983,4353.89
25-05-1983,4339.65
26-05-1983,4363.14
27-05-1983,4343.47
30-05-1983,4343.47
31-05-1983,4391.75
01-06-1983,4163.54
02-06-1983,4134.73
03-06-1983,4174.32
06-06-1983,4111.05
07-06-1983,4031.85
08-06-1983,4034.3
09-06-1983,4036.03
10-06-1983,4139.28
13-06-1983,4169.33
14-06-1983,4184.66
